,36,TABACO ,1,,
,100,BLANCO,1,,
,101,CRUDO,1,,
,107,ROSA MEX,1,,
,108,CANARIO,1,,
,110,MANGO,1,,
,111,BEIGE VAINILLA,1,,
,112,AZUL MEDIO,1,,
,115,VERDE CLARO,1,,
,116,OLIVO,1,,
,120,NARANJA,1,,
,121,AZUL REY,1,,
,123,PAVO OSCURO,1,,
,128,NEGRO,1,,
,132,CORAL,1,,
,134,ROJO GRANATE ,1,,
,137,FIUSHA,1,,
,139,CARAMELLO,1,,
,140,AZUL TURQUEZA,1,,
,163,MAIZ,1,,
,196,VERDE BOTELLA,1,,
,210,GUINDA CLARO,1,,
,210,PALO DE ROSA,1,,
,212,ROJO ESCOLAR,1,,
,213,CAFÉ OSCURO,1,,
,300,AGUACATE ,1,,
,314,AGUACATE CLARO,1,,
,411,TURQUEZA,1,,
,415,PAVO OSCURO,1,,
,425,MARINO,1,,
,524,UVA,1,,
,563,CORAL,1,,
,611,CARDENAL ,1,,
,641,FIUSHA,1,,
,725,VINO,1,,
,1087,ORO PUMA,1,,
,2070,VERDE BANDERA,1,,
,4041,BUGAMBILIA ,1,,
,4042,LILA,1,,
,5099,CEREZA,1,,
,5119,FIUSHA,1,,
,5121,MERTIOLATE,1,,
,6055,NARANJA,1,,
,44,BLANCO,1,,
,49,CIELO,1,,
,66,MENTITA,1,,
,67,PISTACHE,1,,
,83,VERDE,1,,
,97,ROSA,1,,
,129,ROJO,1,,
,149,ROJO,1,,
,830,ACUA LIMON ,1,,
,3060,TURQUEZA,1,,
,A002,CREMA,1,,
,A004,MAMEY,1,,
,A006,ROSA,1,,
,A014,NEGRO,1,,
,A039,MARINO,1,,
,H32,ORO,1,,
,H93,ROSA,1,,
,H98,ROSA,1,,
,1,BLANCO,1,,
,2,MARFIL,1,,
,4,AMARILLO,1,,
,5,ROSA BEBE,1,,
,5,SALMON,1,,
,6,ROSA BEBE,1,,
,7,ROSA BEBE,1,,
,8,PALO DE ROSA,1,,
,9,MENTA,1,,
,12,NARANJA,1,,
,13,SHEDRON,1,,
,14,CAMELLO,1,,
,15,CAFÉ,1,,
,16,ROJO CLARO ,1,,
,17,ROJO QUEMADO,1,,
