1,137,xxx,FIUSHA,8,10,0000-00-00,0000-00-00
2,23,xxx,BEIGE,8,7,0000-00-00,0000-00-00
3,62,xxx,AZ+D4:F23UL PAVO,8,7,0000-00-00,0000-00-00
4,64,xxx,REY,8,7,0000-00-00,0000-00-00
5,76,xxx,FLEVINA VERDE,8,7,0000-00-00,0000-00-00
6,93,xxx,ROSA ,8,7,0000-00-00,0000-00-00
7,107,xxx,CORAL,8,7,0000-00-00,0000-00-00
8,144,xxx,PETUNIA ROSA,8,7,0000-00-00,0000-00-00
9,551,xxx,VERDE HOJA,8,7,0000-00-00,0000-00-00
10,65,xxx,AZUL MARINO,8,4,0000-00-00,0000-00-00
11,68,xxx,PALMOLIVE,8,4,0000-00-00,0000-00-00
12,93,xxx,ROSA,8,4,0000-00-00,0000-00-00
13,131,xxx,ROJO,8,4,0000-00-00,0000-00-00
14,143,xxx,ROSA,8,4,0000-00-00,0000-00-00
15,H 131,xxx,ROJO,8,4,0000-00-00,0000-00-00
16,NUEVO,xxx,PIEL,6,9,0000-00-00,0000-00-00
17,NUEVO,xxx,34 BEIGE,6,9,0000-00-00,0000-00-00
18,NUEVO,xxx,93 ROSA BEBE,6,9,0000-00-00,0000-00-00
19,NUEVO,xxx,48 AZULADO,6,9,0000-00-00,0000-00-00
20,NUEVO,xxx,66 MENTA,6,9,0000-00-00,0000-00-00
21,36,xxx,TABACO ,1,10,0000-00-00,0000-00-00
22,100,xxx,BLANCO,1,10,0000-00-00,0000-00-00
23,101,xxx,CRUDO,1,10,0000-00-00,0000-00-00
24,107,xxx,ROSA MEX,1,10,0000-00-00,0000-00-00
25,108,xxx,CANARIO,1,10,0000-00-00,0000-00-00
26,110,xxx,MANGO,1,10,0000-00-00,0000-00-00
27,111,xxx,BEIGE VAINILLA,1,10,0000-00-00,0000-00-00
28,112,xxx,AZUL MEDIO,1,10,0000-00-00,0000-00-00
29,115,xxx,VERDE CLARO,1,10,0000-00-00,0000-00-00
30,116,xxx,OLIVO,1,10,0000-00-00,0000-00-00
31,120,xxx,NARANJA,1,10,0000-00-00,0000-00-00
32,121,xxx,COCOA,1,10,0000-00-00,0000-00-00
33,121,xxx,AZUL REY,1,10,0000-00-00,0000-00-00
34,123,xxx,PAVO OSCURO,1,10,0000-00-00,0000-00-00
35,128,xxx,NEGRO,1,10,0000-00-00,0000-00-00
